ID,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,d11,d12,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a_cosv1,a_cosv2,a_cosv3,a_cosv4,a_cosv5,a_cosv6,a_cosv7,a_cosv8,a_cosv9,a_cosv10,a_cosv11,a_cosv12,a_cosv13,a_cosv14,a_cosv15,a_cosv16,a_cosv17,a_cosv18,a_cosv19,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,b26,b27,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,s1,s2,s3,s4,s5,a_sum_1,a_sum_2,a_sum_3,a_sum_4,b_sum_1,b_sum_2,b_sum_3,b_sum_4,b_sum_5,b_sum_6,c_sum_1,c_sum_2,c_sum_3,c_sum_4,c_sum_5,u_sum_1,u_sum_2,t_sum_1,t_sum_2,s_sum_1
86064106,Женщина,43,Москва,Высшее,20 + лет,1-3 года,"Финансы, бухгалтерия, банки;",До 50 человек,бухгалтер,100,60 000 — 100 000,Да,7,5,6,4,6,4,4,4,4,4,2,4,7,5,4,5,2,5,6,7,5,1,5,5,6,7,4,6,6,6,1,4,4,4,4,5,6,5,5,3,4,5,3,1,6,6,6,5,4,4,4,1,4,6,4,4,1,5,4,2,1,4,4,3,3,1,2,3,4,4,7,1,4,4,3,3,2,3,3,2,2,3,3,3,3,4,4,2,3,3,2,3,3,4,3,2,3,4,2,2,2,2,2,2,2,2,2,4,3,5,1,1,1,3,2,2,4,4,4,4,4,2,1,2,2,1,1,1,1,3,2,6,5,5,4,4,6,6,4,5,5,4,5,6,4,3,4,4,3,74,82,81,77,15,16,9,15,12,8,8,14,3,7,20,8,8,36,29,18
86063888,Мужчина,32,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,5-10 лет,1-3 года,Другое,До 50 человек,Старший программист,100,100 000 — 150 000,Нет,7,7,6,7,6,5,5,5,7,5,1,7,1,1,5,7,2,2,6,4,6,3,7,4,5,4,7,6,7,7,6,6,3,6,1,6,7,1,6,1,5,7,2,4,1,1,5,5,2,6,1,6,1,1,5,4,6,2,4,6,6,2,6,7,7,2,6,3,7,2,7,1,6,4,1,4,4,4,3,4,4,2,4,2,4,3,3,3,3,3,3,4,4,3,1,1,1,1,1,1,1,1,5,3,4,3,5,5,4,5,3,4,5,5,5,5,5,5,4,4,5,2,1,1,1,1,1,1,1,3,1,5,2,5,3,2,7,5,3,6,6,7,5,6,4,4,4,4,3,93,87,93,63,23,15,9,17,4,4,15,19,12,15,23,6,7,29,33,19
86062736,Женщина,26,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,5-10 лет,Другое,До 500 человек,Системный администратор,90,30 000 — 60 000,Затрудняюсь ответить,7,7,6,1,6,7,7,7,7,4,6,6,5,6,6,5,3,4,7,7,4,4,4,4,6,7,4,5,7,5,4,5,7,6,5,7,6,4,2,5,2,5,7,5,7,5,7,2,4,6,4,4,1,4,4,4,1,3,6,4,5,1,6,4,6,3,4,4,5,4,7,4,5,4,5,1,2,1,1,1,3,4,4,3,3,4,2,3,3,3,3,4,4,3,1,2,1,4,1,2,2,2,1,1,1,1,4,4,4,3,1,1,3,4,4,4,3,3,3,3,3,4,4,4,5,5,1,1,4,3,2,3,5,4,5,5,7,1,2,1,6,3,5,5,1,1,1,6,2,95,91,92,89,9,18,8,17,8,7,4,15,5,12,15,22,11,30,22,11
86061772,Мужчина,47,Санкт-Петербург,Высшее,20 + лет,5-10 лет,"Продажи, закупки;",До 50 человек,директор по развитию,100,100 000 — 150 000,Нет,5,5,5,6,5,5,5,5,7,7,4,3,4,2,5,4,3,5,6,6,6,6,6,5,5,6,6,5,5,5,2,3,5,6,4,4,5,5,5,4,5,2,3,2,3,5,5,4,2,5,4,5,3,4,5,5,5,4,5,4,4,3,5,3,4,5,5,5,4,4,7,3,6,5,4,2,2,2,2,2,3,2,2,3,2,2,2,3,2,3,3,3,2,2,3,2,2,2,3,2,1,1,5,5,5,4,5,4,5,4,4,4,4,5,5,5,4,3,3,3,5,1,1,1,1,1,1,1,1,4,4,5,2,3,2,2,6,5,3,5,5,5,3,5,4,4,4,5,3,88,91,83,80,13,11,7,13,9,7,19,18,12,15,18,5,11,25,26,20
86060760,Женщина,33,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,15-20 лет,5-10 лет,Другое,До 500 человек,ведущий экономист,70,60 000 — 100 000,Да,7,7,5,7,5,4,7,4,7,7,5,7,4,6,6,7,4,4,7,5,6,4,5,5,6,7,7,6,7,7,6,5,7,7,4,2,7,6,6,2,6,6,7,6,5,2,5,7,5,7,4,6,7,2,4,6,6,5,5,6,4,1,6,6,7,1,1,4,4,7,7,7,7,4,7,1,3,3,3,3,2,2,2,2,2,2,2,3,2,2,3,3,2,3,3,3,2,3,3,2,3,2,4,4,4,4,4,4,4,4,1,4,4,5,5,5,4,4,3,4,3,1,1,1,1,1,1,1,1,4,3,5,7,1,3,5,5,5,5,6,7,5,5,7,5,6,6,6,4,102,100,100,105,15,10,7,13,11,10,16,16,9,15,18,5,10,31,35,27
86060208,Мужчина,33,Москва,Среднее общее (11 классов),5-10 лет,5-10 лет,Другое,До 500 человек,Рабочий,80,60 000 — 100 000,Да,6,5,5,4,3,5,4,5,4,7,5,5,4,6,4,5,3,4,4,5,4,5,5,5,5,3,3,5,5,5,4,4,2,2,6,4,6,5,5,1,5,6,5,5,5,4,5,3,5,5,6,5,5,3,5,5,6,6,5,5,5,4,5,5,5,5,5,6,5,6,5,5,5,6,5,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,4,3,3,3,4,4,4,4,4,3,3,3,2,3,4,3,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,6,5,5,6,5,6,5,5,5,5,6,4,4,4,4,4,89,85,87,92,18,15,10,14,13,13,15,14,8,10,20,21,20,37,32,20
86058857,Мужчина,42,Москва,Высшее,20 + лет,1-3 года,"Продажи, закупки;",До 500 человек,директор по развитию,30,100 000 — 150 000,Да,6,6,6,7,6,6,6,6,5,6,5,3,4,4,6,4,4,6,4,5,6,5,4,4,4,3,6,4,6,5,6,4,3,6,5,5,5,5,5,5,5,5,4,5,6,5,4,4,4,6,4,4,4,5,4,6,3,2,5,4,3,4,3,2,2,5,5,2,4,5,7,6,4,4,6,2,3,3,2,3,4,3,4,3,4,4,4,4,4,3,3,4,3,3,2,3,2,4,2,2,3,2,3,2,4,2,4,5,4,5,3,3,3,5,4,4,2,4,3,2,3,1,2,1,3,2,1,3,2,4,1,5,2,2,3,2,1,6,3,7,6,3,5,7,3,2,2,5,2,89,81,90,92,17,18,12,16,11,9,11,18,9,13,14,9,11,21,31,14
86058331,Женщина,29,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,3-5 лет,Другое,До 500 человек,специалист по подтверждению отчетности,50,30 000 — 60 000,Да,6,5,5,6,6,6,6,6,6,6,6,5,6,6,6,5,2,6,6,6,6,4,5,6,6,6,5,6,5,5,5,4,6,6,4,3,6,6,6,3,6,6,6,6,6,5,5,6,6,6,6,6,4,6,4,6,2,4,5,4,4,2,6,4,5,4,4,4,6,4,7,5,4,5,6,2,4,2,2,4,2,2,2,4,2,4,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,2,4,4,3,3,3,4,3,4,3,3,4,4,4,4,4,3,3,4,4,2,2,2,2,2,2,3,2,3,3,2,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,94,96,95,105,16,14,6,12,8,10,14,14,10,12,18,10,13,26,28,21
86058133,Женщина,36,Город с численностью от 100 тысяч до 500 тысяч,Высшее,10-15 лет,10-15 лет,Обслуживание;,До 1000 человек,диспетчер,100,0 — 15 000,Да,4,4,5,7,3,7,7,5,7,7,4,4,5,7,5,5,3,3,5,5,7,7,6,5,7,6,4,4,5,5,4,4,4,5,3,4,5,5,5,4,4,2,5,3,5,4,4,4,5,5,4,5,4,5,5,3,4,4,6,5,5,4,5,6,4,4,1,5,4,4,7,3,4,4,5,1,3,2,4,3,3,2,4,2,1,2,2,1,3,3,4,2,2,4,4,1,1,2,1,2,4,2,2,2,2,2,3,3,3,3,2,3,3,4,4,3,4,2,2,2,3,4,3,4,3,4,4,4,4,4,4,6,3,5,4,2,6,6,3,4,6,4,6,4,2,4,4,4,4,93,98,77,84,16,11,6,15,8,9,8,12,8,11,13,18,20,32,27,18
86056714,Женщина,51,Город с численностью от 50 тысяч до 100 тысяч,Высшее,20 + лет,10-15 лет,"Финансы, бухгалтерия, банки;",1000+ человек,главный менеджер,80,30 000 — 60 000,Нет,5,7,7,6,2,7,7,7,5,6,7,4,7,6,6,6,5,2,7,6,4,5,4,7,7,7,2,6,2,6,4,4,2,6,3,5,7,7,7,2,7,7,6,3,6,6,3,7,4,6,1,7,3,3,6,6,2,5,6,2,5,1,2,2,6,1,3,2,6,4,7,2,6,6,6,2,3,2,2,4,3,4,3,3,3,4,3,3,2,2,3,3,3,2,3,2,3,4,2,2,3,3,3,4,3,4,4,5,5,3,2,2,4,4,4,3,4,4,2,4,4,3,2,2,3,2,2,4,2,4,2,7,6,6,5,7,7,5,6,6,7,7,5,7,3,4,3,3,3,97,86,90,94,16,17,8,13,12,10,14,17,8,11,18,12,14,43,38,16
86055956,Мужчина,48,Город с численностью жителей миллион и более человек,Высшее,20 + лет,10-15 лет,Обслуживание;,До 50 человек,специалист,50,60 000 — 100 000,Да,7,5,7,7,1,7,7,5,4,4,1,1,3,6,7,6,1,1,7,7,1,1,6,7,6,2,4,7,5,7,7,7,7,7,5,1,6,6,7,7,7,4,6,4,7,5,1,1,6,4,1,7,1,7,6,7,1,1,3,7,1,3,7,3,5,2,7,1,1,7,7,1,1,6,5,4,4,3,4,2,3,1,3,4,4,4,3,4,4,3,4,3,3,3,2,2,1,4,4,1,1,1,1,1,1,1,1,3,4,1,3,3,4,5,4,1,1,5,1,2,5,1,1,3,1,1,5,5,2,5,2,7,7,7,5,7,7,7,7,7,3,7,1,6,1,2,1,6,1,72,82,106,83,20,16,11,16,9,7,4,9,10,10,14,7,19,47,31,11
