Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);Я чувствую, что мы с коллегами делаем одно дело (Шкала);Я испытываю уважение к своим коллегам (Шкала);Я думаю, что есть коллеги, без которых компания могла бы легко обойтись (Шкала);У нас в компании есть своя культура и я чувствую себя её частью (Шкала);Мне важно мнение моих коллег о моей работе (не только моего руководителя) (Шкала);Я радуюсь, когда вижу людей из моей организации вне работы (Шкала);Я думаю, что моих коллег, в целом, легко мог заменить кто-то другой (Шкала);Другие люди говорят, что моя работа важна (Шкала);Я знаю, как моя работа влияет на мир, и мне нравится это влияние (Шкала);Мне говорят, что моя работа полезна (Шкала);Я думаю, что мир не станет хуже, если я буду плохо делать свою работу (Шкала);Я чувствую, что от моей работы много зависит (Шкала);Я думаю, что большая часть профессий важнее моей (Шкала);Я чувствую, что моя работа важна для общества (Шкала);Я хожу на выставки/конференции по теме моей работы в свободное время (Шкала);В свободное время я читаю профильную литературу (Шкала);Я делюсь интересными “трюками”, которые я придумал в своей работе (Шкала);Мои рабочие инструменты просты в обращении и не требуют развития навыков (Шкала);Я знаю, почему я использую для работы те, а не иные инструменты/техники/приёмы/программы (Шкала);Разные инструменты/техники/приёмы/программы, которые я использую в работе, не влияют на её эффективность, качество и скорость (Шкала);В моей работе применима пословица: “Хочешь сделать работу — сначала наточи инструменты” (хорошие средства труда важны в моей работе) (Шкала);Я чувствую, что без необходимости ходить на работу, я был бы в разы счастливее (Шкала);Я начинаю скучать по работе во время долгих праздников и отпуска (Шкала);Я чувствую сильное напряжение, если мне приходиться задерживаться после работы (Шкала);Я ложусь спать с приятным предвкушением завтрашних рабочих задач (Шкала);Я с радостью пользуюсь возможностью рассказать о том, что делаю на работе (Шкала);Я стараюсь не думать о работе в нерабочее время (Шкала);Друзья считают меня “фанатиком своего дела” (Шкала);Работа, которую я выполняю, оплачивается компанией справедливо (Шкала);Уровень моей заработной платы соответствует моим квалификации, знаниям, умениям и навыкам (Шкала);Моя заработная плата соответствует моим усилиям (Шкала);Размер моей заработной платы стимулирует меня к труду (Шкала);В нашей компании созданы благоприятные условия труда (Шкала);У меня есть все, что необходимо мне для работы (Шкала);Я могу рассказать о нашей организации как о хорошем месте работы с неплохими условиями труда (Шкала);Меня не устраивает организация труда в нашей организации (Шкала);Наш руководитель воодушевляет меня на работу с высокой отдачей (Шкала);Меня редко хвалят или благодарят за работу (Шкала);Мой непосредственный руководитель часто не понимает или не хочет понять меня (Шкала);У меня сложились хорошие отношения с людьми, с которыми я работаю (Шкала);Люди, с которыми я работаю, уважают меня (Шкала);Мне нравятся люди, с которыми я вместе работаю (Шкала);То, чем я занимаюсь на моей работе, меня интересует (Шкала);За последнее время я добился(ась) успехов на своей работе (Шкала);В работе меня прежде всего привлекает возможность узнавать что-то новое (Шкала);С каждым месяцем я ощущаю, как растут мои профессиональные знания (Шкала);Процесс работы доставляет мне удовольствие (Шкала);Специалист, который не может дать четкий ответ, возможно, не слишком много знает (Шкала);Хорошая работа – это та, на которой всегда ясно, что и как это нужно делать (Шкала);В долговременной перспективе добиться большего возможно, решая маленькие и простые проблемы, чем большие и сложные (Шкала);Привычное всегда предпочтительнее незнакомого (Шкала);Человек, который ведет ровную, размеренную жизнь (без особых сюрпризов и неожиданностей), на самом деле должен быть благодарен судьбе (Шкала);Я больше люблю вечеринки со знакомыми людьми, чем те, где большинство людей мне совершенно незнакомы (Шкала);Чем скорее мы придем к единым ценностям и идеалам, тем лучше (Шкала);Люди, которые подчинили свою жизнь расписанию, наверное, лишают себя большинства радостей жизни (Шкала);Интереснее заниматься сложной проблемой, чем решать простую (Шкала);Часто наиболее интересные и заводящие других люди – это те, кто не боится быть оригинальным и непохожим на других (Шкала);Люди, которые настаивают на ответе либо «да», либо «нет», просто не знают, насколько все на самом деле сложно (Шкала);Многие из наиболее важных решений основаны на неполной информации (Шкала);Хороший учитель – это тот, кто заставляет тебя размышлять о твоем взгляде на жизнь (Шкала);В основном моя жизнь близка к идеалу (Шкала);Обстоятельства моей жизни исключительно благоприятны (Шкала);Я полностью удовлетворен моей жизнью (Шкала);У меня есть в жизни то, что мне по настоящему нужно (Шкала);Если бы мне пришлось жить еще раз, я бы оставил все как есть (Шкала);Я понимаю смысл моей жизни (Шкала);В моей жизни есть четкое понимание цели (Шкала);У меня есть четкое понимание того, что наполняет мою жизнь смыслом (Шкала);Я уже нашел удовлетворяющую меня цель жизни (Шкала);У меня нет четкой цели в жизни (Шкала);Я считаю себя тревожным, легко расстраивающимся (Шкала);Я считаю себя спокойным, эмоционально стабильным (Шкала)
Мужчина;49;Город с численностью от 500 тысяч до 950 тысяч;Среднее общее (11 классов);20 + лет;20 + лет;"Производство;";1000+ человек;слесарь;60;30 000 — 60 000;Нет;Практически всегда;Практически всегда;Редко;Часто;Редко;Часто;Практически никогда;Иногда;Практически никогда;Иногда;Практически никогда;Часто;Практически никогда;Практически никогда;Практически никогда;Практически никогда;Часто;Часто;Практически всегда;Практически никогда;Практически всегда;Иногда;Практически никогда;Практически никогда;Практически никогда;Редко;Практически всегда;Практически никогда;Где-то посередине;Согласен;Скорее согласен;Где-то посередине;Согласен;Согласен;Согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Не согласен;Абсолютно согласен;Затрудняюсь ответить;Абсолютно согласен;Не согласен;Скорее согласен, чем не согласен;Категорически не согласен;Абсолютно согласен;Согласен;Согласен;Согласен;Не согласен;Согласен;Не согласен;Скорее не согласен;Нечто среднее;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Не согласен;Полностью не согласен;Согласен
Женщина;49;Санкт-Петербург;Высшее;15-20 лет;5-10 лет;"Образование;";До 50 человек;административный секретарь;100;30 000 — 60 000;Нет;Часто;Скорее часто;Скорее редко;Скорее часто;Редко;Скорее редко;Иногда;Скорее редко;Иногда;Иногда;Практически никогда;Часто;Иногда;Скорее часто;Практически никогда;Практически никогда;Практически никогда;Иногда;Часто;Иногда;Иногда;Иногда;Иногда;Скорее редко;Скорее редко;Редко;Иногда;Скорее редко;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее не согласен, чем согласен;Согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен;Скорее согласен;Нечто среднее;Нечто среднее;Скорее согласен;Нечто среднее;Нечто среднее
Женщина;37;Город с численностью жителей миллион и более человек;Высшее;10-15 лет;3-5 лет;"Торговля;";До 1000 человек;менеджер;40000;30 000 — 60 000;Да;Скорее часто;Скорее часто;Иногда;Иногда;Скорее часто;Иногда;Иногда;Скорее часто;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Скорее часто;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Часто;Иногда;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Нечто среднее;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен
Мужчина;53;Город с численностью от 500 тысяч до 950 тысяч;Высшее;20 + лет;10-15 лет;недвижимость;До 50 человек;юрист;25;30 000 — 60 000;Затрудняюсь ответить;Часто;Скорее часто;Скорее редко;Часто;Иногда;Иногда;Редко;Часто;Часто;Часто;Редко;Скорее часто;Скорее редко;Часто;Иногда;Иногда;Иногда;Часто;Часто;Скорее редко;Часто;Редко;Скорее редко;Скорее редко;Иногда;Редко;Иногда;Иногда;Скорее согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Согласен;Согласен;Согласен;Не согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Не согласен;Не согласен;Затрудняюсь ответить;Не согласен;Не согласен;Не согласен;Согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Не согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Нечто среднее;Не согласен;Не согласен;Не согласен;Не согласен
Женщина;48;Москва;Высшее;20 + лет;20 + лет;наука;До 500 человек;старший научный сотрудник;40;60 000 — 100 000;Нет;Редко;Иногда;Практически всегда;Практически никогда;Практически никогда;Редко;Часто;Практически никогда;Иногда;Иногда;Часто;Иногда;Редко;Скорее редко;Редко;Редко;Скорее редко;Редко;Практически всегда;Редко;Скорее часто;Иногда;Практически никогда;Скорее часто;Скорее редко;Скорее редко;Часто;Скорее часто;Не согласен;Не согласен;Не согласен;Где-то посередине;Не согласен;Скорее не согласен;Скорее не согласен;Согласен;Где-то посередине;Согласен;Согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Где-то посередине;Не согласен;Согласен;Не согласен;Где-то посередине;Не согласен;Не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Не согласен;Не согласен;Не согласен;Абсолютно согласен;Затрудняюсь ответить;Согласен;Не согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Нечто среднее;Нечто среднее
Женщина;33;Город с численностью жителей миллион и более человек;Среднее общее (11 классов);10-15 лет;5-10 лет;"Красота и здоровье;";До 50 человек;Мастер;30000;30 000 — 60 000;Нет;Практически всегда;Практически всегда;Скорее часто;Практически всегда;Практически всегда;Скорее часто;Иногда;Часто;Практически всегда;Часто;Часто;Часто;Практически всегда;Скорее часто;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Практически всегда;Часто;Практически всегда;Иногда;Практически всегда;Иногда;Практически всегда;Практически всегда;Скорее часто;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Согласен;Где-то посередине;Не согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Согласен;Согласен;Скорее не согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Не согласен;Скорее согласен;Нечто среднее
Женщина;47;Город с численностью жителей миллион и более человек;Высшее;20 + лет;0-1 года;"Юриспруденция;";1000+ человек;начальник юридического отдела;50;100 000 — 150 000;Нет;Часто;Часто;Часто;Часто;Скорее часто;Часто;Иногда;Часто;Часто;Часто;Практически никогда;Скорее часто;Редко;Часто;Скорее редко;Иногда;Часто;Редко;Скорее часто;Практически никогда;Часто;Иногда;Часто;Иногда;Часто;Часто;Иногда;Часто;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен, чем не согласен;Не согласен;Не согласен;Не согласен;Затрудняюсь ответить;Не согласен;Согласен;Затрудняюсь ответить;Не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Затрудняюсь ответить;Согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Согласен;Согласен;Скорее согласен;Скорее согласен;Полностью не согласен;Нечто среднее;Скорее согласен
Женщина;28;Москва;Неоконченное высшее;1-3 года;3-5 лет;"Торговля;";До 500 человек;менеджер по продажам;80;30 000 — 60 000;Да;Скорее редко;Скорее часто;Иногда;Часто;Часто;Редко;Часто;Практически всегда;Скорее часто;Часто;Редко;Практически всегда;Часто;Практически всегда;Часто;Редко;Часто;Редко;Практически всегда;Практически никогда;Часто;Скорее часто;Практически никогда;Практически всегда;Иногда;Скорее часто;Практически всегда;Часто;Не согласен;Не согласен;Не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Не согласен;Согласен;Не согласен;Не согласен;Где-то посередине;Согласен;Согласен;Не согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Абсолютно согласен;Не согласен;Категорически не согласен;Не согласен;Скорее не согласен, чем согласен;Категорически не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Согласен;Абсолютно согласен;Категорически не согласен;Не согласен;Согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Согласен;Согласен;Согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью не согласен;Нечто среднее;Согласен
Мужчина;44;Город с численностью от 500 тысяч до 950 тысяч;Высшее;15-20 лет;5-10 лет;"Производство;";До 1000 человек;директор по развитию;50;150 000 — 200 000;Затрудняюсь ответить;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Часто;Часто;Часто;Редко;Иногда;Иногда;Скорее редко;Часто;Иногда;Иногда;Иногда;Часто;Иногда;Скорее часто;Иногда;Иногда;Иногда;Иногда;Иногда;Скорее редко;Скорее часто;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Не согласен;Согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Нечто среднее;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Не согласен;Скорее не согласен;Нечто среднее
Женщина;34;Город с численностью жителей миллион и более человек;Высшее;10-15 лет;5-10 лет;"Финансы, бухгалтерия, банки;";До 500 человек;Руководитель среднего звена;70;60 000 — 100 000;Нет;Часто;Часто;Иногда;Скорее часто;Часто;Часто;Иногда;Часто;Часто;Часто;Скорее редко;Часто;Часто;Часто;Иногда;Скорее редко;Скорее часто;Скорее часто;Часто;Часто;Скорее часто;Скорее часто;Скорее редко;Иногда;Скорее редко;Иногда;Часто;Иногда;Где-то посередине;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Скорее не согласен;Нечто среднее;Скорее согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен
Женщина;47;Москва;Высшее;20 + лет;1-3 года;культура и искусство;До 500 человек;менеджер по продажам;90;60 000 — 100 000;Да;Часто;Часто;Часто;Часто;Иногда;Часто;Скорее редко;Скорее часто;Скорее часто;Скорее часто;Практически никогда;Практически всегда;Иногда;Скорее часто;Скорее часто;Иногда;Скорее редко;Редко;Практически всегда;Скорее редко;Часто;Часто;Практически никогда;Иногда;Иногда;Практически всегда;Скорее редко;Часто;Скорее не согласен;Где-то посередине;Не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен, чем не согласен;Затрудняюсь ответить;Не согласен;Скорее согласен, чем не согласен;Не согласен;Не согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Затрудняюсь ответить;Затрудняюсь ответить;Абсолютно согласен;Полностью не согласен;Скорее согласен;Не согласен;Согласен;Не согласен;Нечто среднее;Скорее не согласен;Согласен;Скорее не согласен;Согласен;Скорее не согласен;Нечто среднее
Женщина;40;Москва;Высшее;15-20 лет;10-15 лет;"Продажи, закупки;";1000+ человек;Менеджер;100;100 000 — 150 000;Затрудняюсь ответить;Скорее часто;Скорее часто;Часто;Скорее часто;Скорее часто;Скорее редко;Редко;Скорее редко;Практически никогда;Редко;Иногда;Скорее редко;Часто;Скорее редко;Практически никогда;Скорее редко;Скорее редко;Редко;Редко;Редко;Иногда;Скорее редко;Скорее часто;Скорее редко;Скорее редко;Скорее редко;Скорее часто;Скорее редко;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее
Женщина;42;Город с численностью жителей миллион и более человек;Высшее;15-20 лет;5-10 лет;экспертиза;До 50 человек;начальник отдела экспертизы;30;30 000 — 60 000;Затрудняюсь ответить;Скорее часто;Часто;Иногда;Часто;Часто;Редко;Скорее редко;Иногда;Скорее часто;Скорее редко;Практически никогда;Часто;Скорее редко;Скорее часто;Скорее редко;Редко;Иногда;Редко;Практически всегда;Скорее редко;Скорее редко;Часто;Практически никогда;Часто;Практически никогда;Часто;Практически всегда;Иногда;Скорее не согласен;Где-то посередине;Скорее не согласен;Не согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Абсолютно согласен;Абсолютно согласен;Затрудняюсь ответить;Согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Абсолютно согласен;Затрудняюсь ответить;Затрудняюсь ответить;Скорее не согласен;Нечто среднее;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Согласен;Нечто среднее;Скорее не согласен;Полностью согласен;Полностью согласен
Женщина;26;Город с численностью жителей миллион и более человек;Высшее;1-3 года;0-1 года;"Образование;";До 50 человек;заместитель директора;100;30 000 — 60 000;Нет;Скорее часто;Скорее часто;Практически никогда;Скорее редко;Скорее часто;Часто;Редко;Скорее часто;Скорее редко;Иногда;Скорее часто;Иногда;Иногда;Иногда;Иногда;Редко;Практически всегда;Редко;Скорее часто;Скорее часто;Скорее часто;Иногда;Скорее часто;Практически всегда;Редко;Иногда;Иногда;Часто;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Согласен;Не согласен;Не согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Согласен;Где-то посередине;Скорее согласен, чем не согласен;Не согласен;Не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Не согласен;Скорее не согласен, чем согласен;Абсолютно согласен;Затрудняюсь ответить;Согласен;Согласен;Абсолютно согласен;Нечто среднее;Нечто среднее;Скорее не согласен;Скорее согласен;Скорее не согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Скорее не согласен;Согласен;Полностью согласен;Не согласен
Женщина;39;Город с численностью жителей миллион и более человек;Высшее;10-15 лет;1-3 года;"Торговля;";До 50 человек;директор по развитию;50;60 000 — 100 000;Нет;Часто;Практически всегда;Часто;Скорее часто;Часто;Часто;Иногда;Иногда;Иногда;Иногда;Редко;Скорее часто;Практически всегда;Иногда;Иногда;Практически никогда;Часто;Скорее часто;Практически всегда;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Иногда;Иногда;Практически всегда;Скорее редко;Скорее согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Согласен;Где-то посередине;Скорее согласен;Согласен;Скорее согласен;Согласен;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Не согласен;Согласен;Согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Согласен;Скорее не согласен, чем согласен;Согласен;Скорее согласен;Нечто среднее;Скорее согласен;Полностью согласен;Скорее не согласен;Нечто среднее;Не согласен;Согласен;Не согласен;Полностью согласен;Скорее согласен;Нечто среднее
Мужчина;45;Москва;Неоконченное высшее;20 + лет;0-1 года;"Финансы, бухгалтерия, банки;";1000+ человек;Руководитель направления;100;100 000 — 150 000;Нет;Иногда;Практически всегда;Практически всегда;Иногда;Иногда;Скорее часто;Часто;Практически никогда;Практически никогда;Иногда;Скорее редко;Скорее часто;Практически всегда;Иногда;Практически никогда;Практически никогда;Иногда;Иногда;Практически всегда;Иногда;Иногда;Практически всегда;Практически никогда;Скорее часто;Редко;Иногда;Часто;Скорее часто;Скорее не согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Скорее не согласен;Согласен;Скорее не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Не согласен;Скорее согласен;Не согласен;Не согласен;Скорее не согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Затрудняюсь ответить;Абсолютно согласен;Абсолютно согласен;Абсолютно согласен;Согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Полностью не согласен;Нечто среднее;Нечто среднее;Согласен;Согласен;Нечто среднее;Скорее согласен;Нечто среднее
Мужчина;55;Москва;Высшее;20 + лет;1-3 года;"Обслуживание;";До 50 человек;Специалист;100;15 000 — 30 000;Затрудняюсь ответить;Иногда;Иногда;Практически всегда;Практически никогда;Иногда;Иногда;Часто;Практически никогда;Практически никогда;Иногда;Практически всегда;Иногда;Иногда;Иногда;Практически никогда;Иногда;Скорее часто;Редко;Часто;Редко;Скорее часто;Практически всегда;Практически никогда;Иногда;Редко;Иногда;Практически всегда;Иногда;Не согласен;Не согласен;Не согласен;Не согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Согласен;Не согласен;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Не согласен;Абсолютно согласен;Скорее не согласен, чем согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Категорически не согласен;Затрудняюсь ответить;Скорее согласен, чем не согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Затрудняюсь ответить;Абсолютно согласен;Скорее не согласен;Нечто среднее;Нечто среднее;Согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Нечто среднее;Не согласен;Не согласен;Согласен
Мужчина;54;Город с численностью от 500 тысяч до 950 тысяч;Высшее;20 + лет;10-15 лет;холодильные установки;До 50 человек;КИПиА;100;30 000 — 60 000;Нет;Часто;Часто;Иногда;Скорее редко;Часто;Часто;Иногда;Часто;Часто;Часто;Практически никогда;Практически всегда;Скорее редко;Часто;Иногда;Скорее часто;Практически всегда;Редко;Часто;Редко;Практически всегда;Часто;Практически никогда;Редко;Практически никогда;Скорее часто;Скорее часто;Редко;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Скорее согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Где-то посередине;Согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее не согласен, чем согласен;Согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Абсолютно согласен;Согласен;Согласен;Скорее не согласен, чем согласен;Скорее согласен, чем не согласен;Согласен;Согласен;Согласен;Согласен;Не согласен;Нечто среднее;Скорее не согласен;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Нечто среднее;Скорее согласен;Скорее согласен;Нечто среднее
