dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,klim1,klim2,klim3,klim4,klim5,klim6,klim7,klim8,klim9,klim10,klim11,klim12,klim13,klim14,klim15,klim16,klim17,klim18,klim19,klim20,klim21,klim22,klim23,klim24,klim25,klim26,klim27,klim28,job_sat1,job_sat2,job_sat3,job_sat4,job_sat5,job_sat6,job_sat7,job_sat8,job_sat9,job_sat10,job_sat11,job_sat12,job_sat13,job_sat14,job_sat15,job_sat16,job_sat17,job_sat18,job_sat19,tol_intol1,tol_intol2,tol_intol3,tol_intol4,tol_intol5,tol_intol6,tol_intol7,tol_intol8,tol_intol9,tol_intol10,tol_intol11,tol_intol12,tol_intol13,life_sat1,life_sat2,life_sat3,life_sat4,life_sat5,purp1,purp2,purp3,purp4,purp5,neuro1,neuro2,klim_sum_1,klim_sum_2,klim_sum_3,klim_sum_4,job_sat_sum_1,job_sat_sum_2,job_sat_sum_3,job_sat_sum_4,job_sat_sum_5,tol_intol_sum_1,tol_intol_sum_2,life_sat_sum_1,purp_sum_1,neuro_sum_1
Женщина,51,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),20 + лет,20 + лет,Медицина;,До 500 человек,оператор эвм,70,15 000 — 30 000,Да,3,3,3,3,5,2,4,4,5,4,4,5,3,5,3,4,4,3,4,5,4,2,1,3,3,4,3,3,2,2,2,2,2,3,2,2,2,3,2,3,3,3,4,3,4,4,2,5,5,4,5,4,5,5,5,5,5,5,5,5,3,3,3,4,4,4,3,4,4,2,6,5,23,30,27,19,8,9,7,9,17,33,30,17,17,11
Женщина,43,Город с численностью от 50 тысяч до 100 тысяч,Высшее,15-20 лет,15-20 лет,Обслуживание;,До 500 человек,делопроизводитель,75,15 000 — 30 000,Да,7,4,2,2,4,4,2,2,3,4,3,3,4,3,5,1,4,2,6,6,7,1,2,2,2,4,3,2,1,1,1,1,1,1,1,1,1,2,3,5,4,3,2,3,4,3,2,5,6,2,5,5,6,6,5,4,4,4,4,6,1,4,2,5,3,4,5,5,3,3,5,2,25,22,31,16,4,4,6,12,14,35,27,15,20,7
Женщина,45,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,15-20 лет,10-15 лет,Медицина;,До 500 человек,медсестра,80,30 000 — 60 000,Нет,5,7,1,5,7,4,4,7,7,7,6,7,6,7,4,5,1,6,7,6,7,6,4,6,4,2,1,5,1,1,3,3,3,5,3,1,1,5,1,3,4,3,5,2,5,5,5,2,7,2,7,7,1,7,4,3,7,7,7,7,1,3,4,7,1,5,4,7,4,7,1,1,33,47,36,28,8,12,7,10,22,33,35,16,27,2
Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Высшее,5-10 лет,3-5 лет,Образование;,До 50 человек,преподаватель,55,15 000 — 30 000,Нет,7,7,6,7,6,7,6,7,7,7,7,7,6,7,7,7,6,5,7,7,4,6,5,3,5,7,1,6,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,5,6,6,6,2,6,6,3,6,1,5,4,5,2,6,6,6,6,6,2,2,46,48,43,33,20,16,15,15,25,25,29,17,30,4
Мужчина,41,Город с численностью менее 50 тысяч,Неоконченное высшее,15-20 лет,5-10 лет,Производство;,До 500 человек,кладовщик,100,60 000 — 100 000,Затрудняюсь ответить,5,6,2,4,4,6,4,4,3,5,4,4,2,4,3,3,4,3,5,4,6,6,5,4,4,5,3,3,3,3,3,4,3,4,3,3,3,4,4,4,4,4,3,3,3,3,4,3,5,4,6,5,6,6,4,4,5,4,6,5,3,4,3,4,2,4,4,4,5,4,5,4,31,26,28,30,13,13,11,12,16,35,28,16,21,9
Женщина,38,Город с численностью от 100 тысяч до 500 тысяч,Среднее общее (11 классов),15-20 лет,10-15 лет,недвижимость,До 50 человек,офис менеджер,70,30 000 — 60 000,Да,4,5,4,6,4,4,6,5,5,6,1,4,2,4,3,1,3,2,5,2,5,1,1,4,1,4,2,4,2,2,2,4,4,4,4,2,1,3,1,5,4,4,3,3,3,2,3,7,6,5,6,2,4,7,7,4,7,4,5,7,4,5,5,4,5,5,5,7,6,5,1,3,33,27,21,17,10,14,5,13,14,37,34,23,28,4
Мужчина,39,Город с численностью жителей миллион и более человек,Неоконченное высшее,15-20 лет,5-10 лет,Обслуживание;,До 50 человек,бригадир,80,100 000 — 150 000,Нет,2,4,2,2,3,2,3,3,3,3,4,3,4,3,2,1,3,4,5,6,5,4,2,4,4,3,2,3,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,3,4,3,4,5,5,4,5,5,5,3,4,3,3,2,4,5,5,5,4,5,5,18,23,26,22,15,15,9,12,20,29,29,15,23,10
Женщина,38,Город с численностью менее 50 тысяч,Высшее,15-20 лет,5-10 лет,Торговля;,До 50 человек,"Кассир приёмник, мастер ювелир",80,30 000 — 60 000,Нет,6,6,2,5,6,6,2,5,5,5,6,5,2,4,3,2,3,5,6,4,5,3,3,1,3,4,1,4,3,2,2,2,3,4,3,3,2,4,3,3,4,3,3,3,3,3,3,6,5,5,3,3,6,6,6,6,6,6,3,6,5,4,2,5,4,5,6,6,4,4,6,5,33,32,28,19,9,13,9,10,15,34,33,20,25,11
Мужчина,51,Город с численностью жителей миллион и более человек,Среднее общее (11 классов),10-15 лет,3-5 лет,Общественное питание;,До 500 человек,экспедитор,100,15 000 — 30 000,Нет,7,5,7,6,3,7,6,3,5,7,6,5,4,5,1,1,3,1,4,6,5,5,1,1,3,7,2,1,5,5,5,5,4,5,5,5,3,1,3,4,4,5,3,5,3,5,3,3,7,7,6,7,7,7,6,3,7,4,5,7,6,7,7,4,2,7,7,7,7,7,5,1,41,35,21,20,20,19,7,13,19,44,32,26,35,6
Женщина,38,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,1-3 года,Красота и здоровье;,До 500 человек,Рабочий,90,30 000 — 60 000,Да,2,4,2,1,4,2,2,1,1,1,4,1,7,1,1,1,1,1,1,2,4,3,1,2,1,1,4,2,1,3,3,1,1,4,3,2,1,1,3,2,1,1,1,1,1,1,1,5,6,4,7,5,4,1,4,4,6,7,4,4,1,1,1,2,1,1,1,3,1,1,7,6,17,16,11,14,8,10,5,4,5,32,29,6,7,13
Женщина,33,Город с численностью от 50 тысяч до 100 тысяч,Высшее,10-15 лет,5-10 лет,"Продажи, закупки;",До 50 человек,эксперт,40,30 000 — 60 000,Нет,4,5,4,4,4,4,3,5,4,6,6,5,3,6,2,1,5,5,6,6,5,1,1,2,2,4,1,1,4,4,4,4,4,4,4,2,3,2,4,4,4,3,3,4,2,3,3,6,6,6,6,5,6,6,5,2,6,6,6,6,2,2,2,2,2,6,6,6,6,6,6,6,28,35,30,12,16,14,9,11,15,41,31,10,30,12
Женщина,53,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,1-3 года,"Продажи, закупки;",До 50 человек,руководитель отдела продаж,100,30 000 — 60 000,Да,1,6,4,3,4,3,7,1,4,1,7,1,7,1,1,1,1,2,6,5,7,1,1,7,4,3,7,1,4,4,4,4,4,5,4,5,4,4,4,4,4,3,3,5,4,4,3,3,2,2,2,2,2,3,5,2,2,2,2,2,5,4,4,4,3,6,5,5,5,5,4,4,28,22,23,24,16,18,12,11,19,16,15,20,26,8
Женщина,27,Москва,Высшее,5-10 лет,5-10 лет,Обслуживание;,До 500 человек,менеджер IT,100,150 000 — 200 000,Нет,7,7,7,7,7,6,7,7,7,7,7,6,7,6,5,6,7,7,7,7,7,7,4,6,7,6,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,7,1,6,5,6,5,2,6,7,1,2,7,5,5,6,7,3,7,7,7,7,7,1,1,48,47,46,38,19,20,15,15,24,31,25,26,35,2
Мужчина,43,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,0-1 года,строительство,До 1000 человек,главный инженер проекта,100,100 000 — 150 000,Нет,6,6,7,6,6,6,7,6,6,6,7,6,7,6,6,6,6,2,6,2,6,7,6,7,6,6,2,1,5,5,5,5,5,5,5,1,5,3,5,5,5,5,5,5,5,5,5,2,7,6,6,6,3,6,7,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,2,2,44,44,34,35,20,16,13,15,25,36,33,30,30,4
Женщина,41,Город с численностью от 500 тысяч до 950 тысяч,Высшее,15-20 лет,10-15 лет,Обслуживание;,До 500 человек,финансовый директор,1,30 000 — 60 000,Нет,7,6,2,4,4,4,2,6,4,4,4,6,3,6,4,3,4,4,5,2,5,4,3,4,2,5,1,3,3,3,3,3,5,5,5,4,5,4,4,5,5,5,5,4,3,4,4,5,6,5,5,3,6,4,6,5,5,3,5,5,3,4,3,3,2,3,4,3,3,3,5,5,29,33,27,22,12,19,13,15,20,34,29,15,16,10
Женщина,29,Санкт-Петербург,Высшее,5-10 лет,5-10 лет,Гостиничный бизнес;,До 500 человек,директор,95,200 000 — 400 000,Нет,6,6,1,7,7,5,4,2,2,6,2,3,6,2,6,2,3,2,3,2,2,2,6,4,7,6,1,5,5,5,5,5,5,5,5,4,2,4,4,5,5,5,5,5,5,5,5,2,5,3,6,1,1,2,3,5,6,2,3,6,7,7,7,7,7,7,7,7,6,7,2,1,36,23,20,31,20,19,10,15,25,20,25,35,34,3
Женщина,52,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),15-20 лет,1-3 года,Фриланс,1000+ человек,Фрилансер,80,0 — 15 000,Затрудняюсь ответить,5,5,4,4,1,4,4,4,6,4,4,5,6,5,4,4,4,3,5,5,5,5,5,5,5,4,4,3,4,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,5,6,6,4,2,3,4,4,4,6,5,5,5,5,4,5,5,5,5,5,2,3,27,34,30,31,15,15,9,12,20,38,23,24,25,5
Женщина,26,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,3-5 лет,1-3 года,Логистика;,До 1000 человек,HR,80,60 000 — 100 000,Нет,4,5,4,4,4,3,4,3,4,4,4,3,5,4,1,4,1,4,5,5,3,2,1,2,1,2,2,3,3,4,4,4,4,4,3,3,2,3,4,5,4,4,3,2,3,2,3,6,5,3,6,6,7,3,3,5,6,6,2,6,3,3,3,5,3,5,5,4,5,5,6,6,28,27,23,13,15,14,9,13,13,36,28,17,24,12
Женщина,42,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,5-10 лет,Торговля;,До 50 человек,экономист,100,30 000 — 60 000,Нет,2,4,4,1,2,2,6,1,1,1,7,1,4,1,1,1,1,6,5,7,1,2,1,3,1,1,3,1,3,3,2,2,4,4,3,4,2,2,4,4,4,3,2,2,2,3,2,5,5,5,5,3,2,5,3,3,6,3,3,4,2,4,4,4,2,4,4,5,4,3,3,3,21,16,22,12,10,15,8,11,11,30,22,16,20,6
Мужчина,42,Город с численностью от 100 тысяч до 500 тысяч,Высшее,20 + лет,20 + лет,госслужбы,До 500 человек,работник,95,60 000 — 100 000,Да,5,5,5,6,3,4,4,3,5,5,5,3,3,3,4,3,4,3,3,5,4,4,4,4,2,6,3,4,3,2,2,3,4,4,3,3,2,2,2,4,3,3,3,3,3,3,3,6,3,3,4,4,5,3,4,4,4,4,2,6,4,4,6,3,3,3,5,4,3,5,5,4,32,27,26,27,10,14,6,10,15,28,24,20,20,9
Женщина,35,Город с численностью от 100 тысяч до 500 тысяч,Неоконченное высшее,10-15 лет,0-1 года,"Финансы, бухгалтерия, банки;",До 500 человек,бухгалтер,100,15 000 — 30 000,Да,4,6,1,4,4,6,4,3,4,3,7,4,7,6,1,1,1,4,4,7,4,4,1,4,2,3,4,1,2,2,2,1,3,3,1,1,3,3,5,5,5,5,5,2,5,4,5,4,6,4,3,5,6,6,6,2,5,2,4,6,3,3,3,6,2,6,6,6,6,6,3,3,29,34,22,19,7,8,11,15,21,34,25,17,30,6
Женщина,46,Город с численностью жителей миллион и более человек,Высшее,20 + лет,5-10 лет,Юриспруденция;,До 500 человек,ведущий специалист,100,30 000 — 60 000,Нет,2,6,1,1,6,7,3,4,4,7,3,7,7,7,1,4,1,6,1,6,1,1,1,7,1,1,1,3,5,5,4,3,5,5,5,4,3,3,5,5,5,5,5,3,5,5,4,5,1,2,5,4,2,6,4,6,7,6,5,7,4,2,5,6,2,5,5,5,5,6,5,2,26,39,20,15,17,19,11,15,22,25,35,19,26,7
Мужчина,35,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,3-5 лет,Обслуживание;,До 500 человек,машинист,90,60 000 — 100 000,Да,7,6,1,5,4,7,2,5,5,5,5,5,1,7,2,3,7,3,7,1,7,1,3,1,6,5,2,5,3,3,2,2,4,5,4,3,4,2,4,5,4,4,5,3,4,4,5,2,5,6,6,6,4,6,7,4,7,7,6,7,5,6,5,7,4,5,6,5,5,6,5,3,32,33,30,23,10,16,10,13,21,35,38,27,27,8
Женщина,41,Город с численностью от 500 тысяч до 950 тысяч,Неоконченное высшее,10-15 лет,0-1 года,Общественное питание;,До 50 человек,бармен,10,15 000 — 30 000,Да,5,5,4,4,5,4,3,4,5,3,4,4,3,5,4,4,4,5,5,5,5,4,3,4,4,5,3,4,2,2,2,2,3,4,4,3,3,3,4,4,4,4,4,3,4,3,3,6,6,5,5,3,6,6,6,5,6,5,6,5,4,5,4,5,5,4,4,5,5,5,5,3,30,28,32,27,8,14,10,12,17,37,33,23,23,8
Женщина,43,Город с численностью жителей миллион и более человек,Высшее,10-15 лет,10-15 лет,Обслуживание;,До 500 человек,оператор call-cen,80,30 000 — 60 000,Да,5,6,3,5,5,6,4,4,4,4,4,6,2,4,1,2,4,2,7,7,5,2,2,3,1,3,2,4,1,1,1,1,5,5,5,5,2,2,5,4,4,4,3,3,2,1,3,5,5,6,5,4,3,5,6,6,6,3,2,7,2,4,3,6,4,6,6,7,4,6,5,4,34,28,28,17,4,20,9,12,12,33,30,19,29,9
Мужчина,46,Город с численностью жителей миллион и более человек,Высшее,20 + лет,10-15 лет,Логистика;,До 500 человек,Инженер,10,150 000 — 200 000,Нет,4,4,3,3,4,4,3,2,3,3,3,3,3,3,2,3,4,4,5,3,3,4,5,5,3,3,4,4,4,4,3,4,3,4,3,3,3,3,4,4,3,4,3,3,3,3,4,2,5,4,5,4,5,4,3,5,5,6,5,5,3,5,4,3,4,3,3,4,3,3,3,3,25,20,24,28,15,13,10,11,16,29,29,19,16,6
Женщина,36,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,1-3 года,некоммерческая организация,До 50 человек,региональный координатор,0,30 000 — 60 000,Нет,7,6,4,6,6,5,4,6,6,7,7,5,5,7,4,4,5,5,5,5,4,4,3,5,4,4,4,5,4,3,4,5,5,5,4,4,5,5,5,5,5,5,5,5,4,4,5,3,6,4,3,5,4,6,3,3,6,4,4,5,4,5,4,5,3,4,4,5,4,3,5,5,38,43,32,29,16,18,15,15,23,31,25,21,20,10
Женщина,26,Москва,Высшее,3-5 лет,1-3 года,строительство,До 500 человек,руководитель отдела,100,60 000 — 100 000,Затрудняюсь ответить,7,7,5,7,4,6,7,7,6,7,6,7,7,7,4,5,4,1,7,7,6,6,4,4,6,5,2,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,7,6,6,6,5,7,4,5,6,4,3,5,6,7,6,7,6,5,6,6,5,6,2,2,43,47,34,31,17,20,15,15,24,42,27,32,28,4
Мужчина,42,Город с численностью от 100 тысяч до 500 тысяч,Высшее,15-20 лет,3-5 лет,Логистика;,До 1000 человек,менеджер,80,30 000 — 60 000,Нет,4,5,4,5,5,5,5,5,5,5,4,5,4,5,4,6,5,4,5,5,4,3,3,4,3,5,2,4,2,2,2,3,4,3,3,3,3,2,3,4,4,4,4,3,4,4,3,6,6,5,6,4,5,6,5,3,6,5,6,5,3,3,4,3,4,4,5,5,3,5,5,4,33,33,33,24,9,13,8,12,18,38,30,17,22,9
Мужчина,35,Город с численностью от 100 тысяч до 500 тысяч,Два и более высших и/или научная степень,15-20 лет,0-1 года,Образование;,До 500 человек,научный сотрудник,30,60 000 — 100 000,Да,3,2,3,4,6,2,4,2,2,5,7,1,3,3,3,4,4,6,4,6,2,3,1,3,1,4,2,4,1,2,2,1,1,1,1,1,1,1,2,1,2,2,3,2,3,1,1,6,6,2,3,6,5,6,2,3,6,6,6,6,4,3,4,5,2,1,1,2,2,2,5,5,24,23,29,18,6,4,4,5,10,34,29,18,8,10
Женщина,41,Санкт-Петербург,Высшее,10-15 лет,1-3 года,Общественное питание;,До 50 человек,оператор пк,0,0 — 15 000,Затрудняюсь ответить,4,4,3,3,5,3,5,3,4,4,4,3,4,4,3,3,3,4,4,3,5,5,3,4,3,3,3,4,3,3,3,2,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,4,6,4,6,4,6,5,4,4,4,5,2,4,4,4,4,4,4,3,3,5,4,4,4,4,27,26,25,25,11,12,9,9,16,35,23,20,19,8
Мужчина,50,Город с численностью жителей миллион и более человек,Высшее,20 + лет,15-20 лет,Обслуживание;,До 50 человек,"Инструктор по дрессировке, содержанию собак",100,15 000 — 30 000,Нет,7,7,7,7,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,1,7,7,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,7,7,4,4,7,7,7,1,4,1,7,7,7,7,7,7,4,7,7,1,7,1,1,1,1,31,49,49,37,20,20,13,15,25,43,27,32,17,2
Женщина,29,Москва,Высшее,5-10 лет,5-10 лет,"Финансы, бухгалтерия, банки;",До 500 человек,Бухгалтер,90,150 000 — 200 000,Нет,7,7,7,7,7,7,7,6,7,7,7,6,7,6,6,6,6,7,7,7,6,7,1,7,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,3,5,4,5,3,5,2,7,2,2,7,4,6,5,7,4,7,7,7,7,7,1,1,49,46,45,36,20,20,15,15,25,26,25,26,35,2
Мужчина,49,Москва,Высшее,20 + лет,5-10 лет,Обслуживание;,До 500 человек,руководитель отдела,100,150 000 — 200 000,Нет,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,5,7,7,7,7,7,7,4,7,7,7,6,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,6,5,5,4,5,5,7,2,3,7,6,7,5,7,5,7,7,7,7,7,1,1,49,48,45,42,19,20,15,15,24,31,29,30,35,2
Женщина,36,Город с численностью от 500 тысяч до 950 тысяч,Высшее,10-15 лет,0-1 года,Образование;,До 50 человек,младший воспитатель,20000,15 000 — 30 000,Нет,6,5,4,6,4,4,6,6,5,6,3,5,4,5,1,1,3,5,2,6,3,5,5,6,2,4,4,5,1,2,4,2,4,5,4,4,4,3,5,1,5,5,5,1,4,1,5,5,6,6,5,2,6,2,2,3,2,4,5,6,3,2,4,6,4,6,4,5,5,5,5,5,35,34,21,31,9,17,12,11,16,32,22,19,25,10
Женщина,42,Город с численностью от 500 тысяч до 950 тысяч,Высшее,20 + лет,10-15 лет,"Продажи, закупки;",До 50 человек,менеджер,90,15 000 — 30 000,Нет,3,2,4,4,4,1,4,4,2,3,4,3,4,2,3,2,2,6,2,6,2,4,2,5,2,4,2,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,6,6,4,6,4,6,6,4,3,6,4,4,5,4,4,4,4,3,7,7,7,7,7,2,2,22,22,23,23,12,11,9,9,13,38,26,19,35,4
Мужчина,55,Город с численностью жителей миллион и более человек,Два и более высших и/или научная степень,20 + лет,1-3 года,Образование;,До 500 человек,бора,50,30 000 — 60 000,Нет,4,6,3,4,4,5,4,3,3,4,4,4,3,4,3,2,3,4,5,4,4,4,3,4,3,3,3,4,3,3,3,3,4,4,4,2,3,2,3,4,4,4,3,4,3,3,3,5,6,5,6,5,7,6,3,5,5,7,3,5,4,4,4,4,4,5,5,5,4,5,1,2,30,25,25,24,12,14,8,12,16,40,28,20,24,3
Мужчина,45,Город с численностью жителей миллион и более человек,Высшее,20 + лет,3-5 лет,Производство;,1000+ человек,мастер,60,60 000 — 100 000,Нет,2,6,2,2,2,1,2,2,2,1,4,1,4,2,1,1,2,5,5,3,6,3,1,2,1,1,2,1,2,1,2,2,1,2,1,1,1,1,1,3,4,4,3,2,1,3,2,5,5,5,6,6,6,4,3,4,4,6,6,4,4,5,4,5,3,2,2,3,2,2,5,1,17,16,23,11,7,5,3,11,11,37,27,21,11,6
Мужчина,49,Город с численностью от 500 тысяч до 950 тысяч,Среднее общее (11 классов),20 + лет,20 + лет,Производство;,1000+ человек,слесарь,60,30 000 — 60 000,Нет,7,7,6,6,2,6,7,4,1,4,7,6,7,1,1,1,6,2,7,7,7,4,1,7,1,2,1,1,3,5,4,3,5,5,5,4,2,3,3,5,4,5,4,4,2,3,3,2,7,4,7,2,5,1,7,6,6,6,2,6,2,3,4,6,6,5,6,6,5,6,1,2,41,30,31,17,15,19,8,14,16,28,33,21,28,3
Женщина,49,Санкт-Петербург,Высшее,15-20 лет,5-10 лет,Образование;,До 50 человек,административный секретарь,100,30 000 — 60 000,Нет,6,5,5,5,2,3,4,3,4,4,7,6,4,5,1,1,1,4,6,4,4,4,4,5,3,2,4,3,3,3,3,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,3,5,6,5,5,5,5,5,3,5,5,4,3,6,4,4,4,4,3,5,5,4,4,3,4,4,30,33,21,25,12,15,10,12,16,36,26,19,21,8
