ID ответа;Укажите Ваш пол: (Одиночный выбор);Укажите Ваш возраст: (Свободный ответ);Укажите город Вашего проживания: (Выпадающий список);Укажите Ваш высший уровень образования: (Выпадающий список);Укажите стаж Вашего труда в общем: (Выпадающий список);Укажите Ваш стаж на текущем месте работы: (Выпадающий список);Выберете из списка сферу деятельности компании, где Вы работаете: (Выпадающий список);Укажите размер компании, где работаете: (Выпадающий список);Укажите Вашу должность: (Свободный ответ);Укажите какая часть Вашей зарплаты является фиксированной: (в процентах) (Свободный ответ);Укажите уровень Вашей заработной платы в месяц: (Выпадающий список);Планируете ли вы в ближайшее время менять работу? (Одиночный выбор);a1;a2;a3;a4;a5;a6;a7;a8;a9;a10;a11;a12;a13;a14;a15;a16;a17;a18;a19;a20;a21;a22;a23;a24;a25;a26;a27;a28;a29;a30;a31;a32;a33;a34;a35;a36;a37;a38;a39;a40;a41;a42;a43;a44;a45;a46;a47;a48;a49;a50;a51;a52;a53;a54;a55;a56;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;b24;b25;b26;b27;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19
65982558;Женщина;37;Город с численностью жителей миллион и более человек;Неоконченное высшее;10-15 лет;3-5 лет;"Образование;";До 500 человек;специалист;100;15 000 — 30 000;Да;Практически всегда;Часто;Скорее часто;Скорее часто;Скорее редко;Практически всегда;Иногда;Часто;Иногда;Часто;Скорее часто;Иногда;Часто;Скорее редко;Скорее часто;Практически всегда;Скорее часто;Практически всегда;Скорее часто;Часто;Практически никогда;Редко;Скорее часто;Иногда;Скорее часто;Иногда;Иногда;Скорее часто;Скорее часто;Иногда;Скорее часто;Скорее часто;Иногда;Иногда;Скорее часто;Скорее редко;Часто;Иногда;Часто;Скорее редко;Скорее редко;Часто;Практически всегда;Иногда;Практически всегда;Скорее часто;Часто;Скорее редко;Скорее часто;Скорее часто;Скорее редко;Иногда;Редко;Практически всегда;Редко;Иногда;Абсолютно не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Где-то посередине;Где-то посередине;Не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Где-то посередине;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен
65982555;Женщина;40;Город с численностью от 500 тысяч до 950 тысяч;Среднее общее (11 классов);10-15 лет;1-3 года;"Медицина;";До 1000 человек;медицинский работник;15000;15 000 — 30 000;Нет;Часто;Практически всегда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Часто;Практически всегда;Практически никогда;Практически никогда;Практически всегда;Иногда;Практически всегда;Часто;Практически всегда;Практически всегда;Часто;Практически всегда;Практически всегда;Часто;Практически никогда;Практически никогда;Иногда;Часто;Практически всегда;Иногда;Практически всегда;Часто;Практически всегда;Часто;Практически всегда;Часто;Практически никогда;Практически всегда;Иногда;Скорее редко;Практически всегда;Скорее редко;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Иногда;Практически всегда;Практически всегда;Редко;Практически всегда;Практически никогда;Практически всегда;Иногда;Практически всегда;Практически всегда;Практически всегда;Скорее редко;Практически всегда;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Полностью согласен;Полностью согласен;Частично согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен;Согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Не согласен;Где-то посередине;Согласен;Скорее не согласен;Согласен;Согласен;Скорее согласен;Согласен;Где-то посередине;Где-то посередине;Скорее согласен;Согласен
65982539;Женщина;29;Москва;Высшее;5-10 лет;5-10 лет;"Производство;";1000+ человек;зам начальника;15000;30 000 — 60 000;Нет;Часто;Скорее часто;Часто;Практически никогда;Скорее часто;Часто;Практически всегда;Иногда;Практически никогда;Практически никогда;Иногда;Скорее редко;Часто;Часто;Часто;Часто;Иногда;Практически никогда;Часто;Практически всегда;Практически никогда;Скорее редко;Редко;Скорее редко;Практически всегда;Редко;Практически никогда;Часто;Скорее часто;Часто;Иногда;Скорее часто;Скорее редко;Иногда;Скорее часто;Скорее редко;Часто;Иногда;Иногда;Практически никогда;Скорее часто;Практически всегда;Скорее часто;Иногда;Скорее часто;Скорее часто;Скорее редко;Скорее редко;Редко;Скорее часто;Скорее часто;Иногда;Практически никогда;Иногда;Практически никогда;Скорее часто;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Абсолютно не согласен;Полностью согласен;Полностью согласен;Частично согласен;Частично согласен;Согласен;Скорее согласен;Где-то посередине;Согласен;Согласен;Согласен;Согласен;Скорее не согласен;Скорее согласен;Скорее не согласен;Не согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен
65982521;Женщина;36;Город с численностью от 100 тысяч до 500 тысяч;Высшее;15-20 лет;10-15 лет;"Транспорт;";1000+ человек;главный специалист по привлечению клиентов;40;30 000 — 60 000;Да;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Иногда;Практически всегда;Часто;Практически всегда;Практически никогда;Практически никогда;Скорее часто;Редко;Скорее часто;Практически всегда;Практически всегда;Часто;Скорее часто;Скорее редко;Практически всегда;Часто;Практически никогда;Скорее редко;Практически всегда;Практически всегда;Часто;Скорее редко;Практически никогда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Иногда;Редко;Редко;Скорее часто;Иногда;Иногда;Часто;Редко;Практически никогда;Практически всегда;Часто;Практически всегда;Скорее часто;Скорее часто;Практически всегда;Скорее часто;Скорее часто;Практически никогда;Часто;Иногда;Скорее часто;Редко;Иногда;Скорее редко;Скорее часто;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Абсолютно не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Не согласен;Скорее согласен;Скорее согласен;Где-то посередине;Не согласен;Не согласен;Где-то посередине;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен
65982449;Женщина;33;Санкт-Петербург;Два и более высших и/или научная степень;10-15 лет;5-10 лет;"Образование;";До 1000 человек;специалист;56000;30 000 — 60 000;Нет;Скорее редко;Скорее часто;Скорее редко;Скорее редко;Иногда;Иногда;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Иногда;Скорее редко;Скорее редко;Скорее редко;Скорее часто;Иногда;Иногда;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Иногда;Иногда;Скорее редко;Иногда;Скорее редко;Скорее редко;Иногда;Скорее редко;Скорее редко;Скорее редко;Скорее редко;Иногда;Иногда;Скорее часто;Скорее редко;Скорее редко;Скорее редко;Иногда;Скорее редко;Скорее редко;Скорее редко;Иногда;Скорее редко;Иногда;Скорее редко;Скорее редко;Иногда;Скорее редко;Иногда;Иногда;Иногда;Иногда;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен;Согласен
65982394;Мужчина;32;Москва;Среднее общее (11 классов);3-5 лет;3-5 лет;фриланс;До 50 человек;Человек;80000;60 000 — 100 000;Затрудняюсь ответить;Часто;Иногда;Практически всегда;Скорее часто;Скорее часто;Часто;Редко;Иногда;Часто;Иногда;Редко;Скорее часто;Скорее редко;Практически всегда;Иногда;Скорее редко;Редко;Практически всегда;Практически всегда;Иногда;Практически всегда;Скорее редко;Часто;Редко;Редко;Скорее часто;Скорее часто;Практически всегда;Иногда;Скорее редко;Скорее часто;Скорее часто;Иногда;Скорее редко;Скорее часто;Скорее часто;Скорее часто;Часто;Скорее редко;Редко;Практически всегда;Иногда;Практически всегда;Скорее часто;Практически всегда;Скорее часто;Скорее редко;Практически всегда;Скорее часто;Скорее часто;Редко;Иногда;Скорее часто;Скорее редко;Иногда;Часто;Полностью согласен;Полностью согласен;Полностью согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Скорее согласен;Согласен;Согласен;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Скорее не согласен;Согласен;Скорее согласен;Согласен;Где-то посередине;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее не согласен
65982367;Женщина;52;Город с численностью жителей миллион и более человек;Два и более высших и/или научная степень;20 + лет;10-15 лет;"Торговля;";До 50 человек;специалист;50;15 000 — 30 000;Затрудняюсь ответить;Практически всегда;Часто;Скорее часто;Практически никогда;Скорее редко;Скорее часто;Часто;Скорее часто;Практически никогда;Практически никогда;Скорее часто;Иногда;Скорее часто;Иногда;Скорее часто;Иногда;Скорее редко;Скорее часто;Часто;Скорее часто;Скорее редко;Иногда;Часто;Скорее редко;Часто;Практически никогда;Практически никогда;Скорее часто;Скорее часто;Скорее часто;Скорее редко;Иногда;Иногда;Иногда;Часто;Скорее редко;Скорее часто;Скорее часто;Скорее часто;Иногда;Скорее часто;Часто;Практически всегда;Иногда;Иногда;Иногда;Редко;Скорее часто;Редко;Часто;Часто;Часто;Практически всегда;Иногда;Скорее часто;Часто;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Согласен;Скорее согласен;Не согласен;Согласен;Где-то посередине;Не согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Где-то посередине;Согласен
65982307;Женщина;25;Город с численностью от 50 тысяч до 100 тысяч;Высшее;3-5 лет;0-1 года;"Красота и здоровье;";До 50 человек;Администратор;95;30 000 — 60 000;Да;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Редко;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Редко;Практически всегда;Практически никогда;Практически всегда;Практически никогда;Практически всегда;Практически всегда;Редко;Иногда;Практически всегда;Практически всегда;Практически никогда;Редко;Практически всегда;Практически всегда;Часто;Редко;Скорее редко;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Иногда;Практически никогда;Иногда;Иногда;Практически всегда;Практически всегда;Часто;Иногда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Практически всегда;Редко;Скорее часто;Практически всегда;Скорее часто;Часто;Часто;Скорее редко;Практически всегда;Практически всегда;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Полностью согласен;Скорее согласен;Не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Где-то посередине;Согласен;Где-то посередине;Скорее не согласен;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Скорее согласен;Согласен;Согласен;Где-то посередине;Скорее согласен
65982238;Женщина;53;Город с численностью от 100 тысяч до 500 тысяч;Высшее;20 + лет;0-1 года;"Торговля;";1000+ человек;продавец-консультант;50;30 000 — 60 000;Нет;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Иногда;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Иногда;Редко;Часто;Практически всегда;Скорее часто;Часто;Иногда;Скорее редко;Практически всегда;Практически всегда;Редко;Скорее редко;Редко;Скорее редко;Часто;Редко;Редко;Скорее часто;Практически всегда;Часто;Иногда;Скорее часто;Редко;Скорее редко;Иногда;Редко;Практически всегда;Часто;Иногда;Иногда;Скорее часто;Иногда;Часто;Скорее часто;Практически всегда;Практически всегда;Редко;Редко;Часто;Скорее часто;Практически никогда;Часто;Скорее редко;Редко;Иногда;Скорее часто;Абсолютно не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Абсолютно не согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Скорее не согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Согласен;Скорее согласен
65981863;Женщина;33;Город с численностью от 500 тысяч до 950 тысяч;Среднее общее (11 классов);10-15 лет;3-5 лет;"Обслуживание;";До 50 человек;фотограф;3498;30 000 — 60 000;Да;Часто;Практически всегда;Скорее часто;Редко;Скорее часто;Часто;Скорее редко;Часто;Скорее редко;Редко;Иногда;Скорее часто;Практически всегда;Иногда;Практически всегда;Скорее часто;Часто;Практически всегда;Часто;Практически всегда;Скорее часто;Скорее часто;Практически всегда;Часто;Практически всегда;Иногда;Скорее часто;Скорее часто;Практически всегда;Скорее часто;Часто;Практически всегда;Иногда;Редко;Скорее часто;Часто;Часто;Практически всегда;Практически всегда;Скорее редко;Часто;Часто;Часто;Скорее часто;Часто;Скорее часто;Скорее редко;Скорее часто;Скорее часто;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Иногда;Практически всегда;Практически никогда;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Согласен;Скорее не согласен;Согласен;Скорее согласен;Согласен;Согласен;Скорее согласен;Согласен;Согласен;Согласен
65981770;Женщина;32;Город с численностью от 100 тысяч до 500 тысяч;Высшее;5-10 лет;5-10 лет;"Продажи, закупки;";До 50 человек;продавец;15000;15 000 — 30 000;Да;Практически всегда;Скорее часто;Скорее часто;Практически всегда;Практически всегда;Скорее часто;Иногда;Иногда;Скорее редко;Скорее редко;Иногда;Скорее часто;Часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Часто;Практически всегда;Практически всегда;Практически никогда;Скорее часто;Иногда;Скорее часто;Иногда;Практически никогда;Скорее редко;Скорее редко;Скорее часто;Скорее часто;Практически всегда;Практически всегда;Скорее часто;Скорее редко;Скорее редко;Иногда;Практически всегда;Практически всегда;Иногда;Скорее редко;Скорее часто;Иногда;Иногда;Практически всегда;Часто;Скорее часто;Скорее часто;Скорее часто;Скорее часто;Практически всегда;Часто;Часто;Иногда;Часто;Скорее часто;Практически всегда;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Абсолютно не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Скорее согласен;Где-то посередине;Где-то посередине;Скорее согласен;Скорее не согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Где-то посередине;Скорее согласен;Скорее не согласен;Согласен
65981724;Женщина;45;Город с численностью от 500 тысяч до 950 тысяч;Неоконченное высшее;15-20 лет;5-10 лет;"Логистика;";До 1000 человек;оператор;100;15 000 — 30 000;Да;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Часто;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Часто;Скорее часто;Скорее редко;Практически всегда;Часто;Часто;Практически никогда;Редко;Практически всегда;Практически всегда;Практически никогда;Скорее редко;Часто;Скорее часто;Скорее часто;Скорее редко;Скорее редко;Практически всегда;Практически всегда;Часто;Практически всегда;Скорее часто;Скорее часто;Иногда;Редко;Редко;Часто;Скорее редко;Редко;Скорее часто;Иногда;Скорее часто;Практически всегда;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Редко;Часто;Практически всегда;Иногда;Практически всегда;Часто;Иногда;Иногда;Практически всегда;Абсолютно не согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Не согласен;Скорее не согласен;Скорее не согласен;Скорее не согласен;Не согласен;Где-то посередине;Скорее не согласен;Не согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Согласен;Согласен;Согласен;Где-то посередине;Согласен;Не согласен;Не согласен;Где-то посередине
65981720;Мужчина;47;Москва;Высшее;20 + лет;3-5 лет;"Логистика;";1000+ человек;Логист;90;60 000 — 100 000;Затрудняюсь ответить;Практически всегда;Практически всегда;Практически всегда;Редко;Редко;Практически всегда;Практически всегда;Практически всегда;Практически никогда;Практически никогда;Иногда;Редко;Часто;Практически всегда;Практически всегда;Скорее часто;Иногда;Скорее редко;Практически всегда;Практически всегда;Редко;Редко;Иногда;Иногда;Часто;Скорее редко;Скорее часто;Практически всегда;Практически всегда;Практически всегда;Иногда;Иногда;Иногда;Иногда;Иногда;Иногда;Практически всегда;Иногда;Редко;Практически никогда;Часто;Часто;Практически всегда;Скорее редко;Скорее часто;Практически всегда;Скорее часто;Скорее редко;Скорее часто;Практически всегда;Скорее часто;Скорее часто;Скорее редко;Скорее редко;Иногда;Часто;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Частично согласен;Частично согласен;Абсолютно не согласен;Частично согласен;Скорее согласен;Где-то посередине;Скорее согласен;Скорее согласен;Скорее согласен;Согласен;Скорее согласен;Скорее не согласен;Скорее согласен;Где-то посередине;Скорее не согласен;Скорее согласен;Согласен;Скорее согласен;Согласен;Согласен;Согласен;Согласен;Согласен
65981719;Мужчина;51;Город с численностью от 100 тысяч до 500 тысяч;Неоконченное высшее;20 + лет;3-5 лет;"Транспорт;";До 50 человек;водитель-экспертов;80;60 000 — 100 000;Да;Скорее часто;Скорее часто;Скорее часто;Скорее редко;Иногда;Иногда;Скорее часто;Скорее часто;Иногда;Иногда;Скорее часто;Скорее часто;Иногда;Практически всегда;Скорее часто;Часто;Часто;Часто;Часто;Скорее часто;Иногда;Иногда;Часто;Иногда;Часто;Иногда;Иногда;Скорее часто;Часто;Часто;Скорее часто;Скорее часто;Скорее редко;Часто;Скорее часто;Редко;Скорее часто;Часто;Скорее часто;Часто;Иногда;Часто;Иногда;Скорее часто;Практически всегда;Иногда;Иногда;Часто;Часто;Практически всегда;Скорее часто;Часто;Скорее часто;Скорее редко;Скорее часто;Часто;Скорее согласен, чем не согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Частично согласен;Полностью согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Скорее согласен, чем не согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Полностью согласен;Частично согласен;Полностью согласен;Частично согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Полностью согласен;Скорее согласен, чем не согласен;Абсолютно не согласен;Частично согласен;Где-то посередине;Где-то посередине;Где-то посередине;Где-то посередине;Скорее не согласен;Согласен;Где-то посередине;Где-то посередине;Скорее не согласен;Согласен;Согласен;Согласен;Согласен;Скорее согласен;Скорее согласен;Где-то посередине;Не согласен;Согласен;Где-то посередине
